职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),纬度,经度,主城市,区县,学历等级,经验年限
嵌入式软件开发2（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090428,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:23,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5,0.0
嵌入式开发工程师,苏州馥昶空间技术,"['30.694843', '104.203753']",169994637,8千-1.6万·14薪,成都-成华区,本科,1年及以上,民营,航天/航空,2025-12-25 14:53:03,8.0,16.0,12.0,30.694843,104.203753,成都,成华区,4,1.0
嵌入式硬件开发（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.391584', '114.346993']",168090581,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:17,15.0,16.0,15.5,30.391584,114.346993,武汉,江夏区,5,0.0
嵌入式软件工程师(J10046),四川英杰电气,"['30.765898', '103.934472']",150241419,7千-1.4万·14薪,成都-郫都区,本科,无需经验,已上市,仪器仪表/工业自动化,2025-11-10 17:11:09,7.0,14.0,10.5,30.765898,103.934472,成都,郫都区,4,0.0
软件开发工程师,昆山丘钛微电子科技,"['31.34106', '120.890399']",168561160,6千-1.2万,昆山,本科,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-11-16 23:36:00,6.0,12.0,9.0,31.34106,120.890399,昆山,,4,0.0
嵌入式软件开发,四川新智极机械,"['30.713469', '104.034868']",161413602,5-8千,成都-金牛区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-18 09:06:48,5.0,8.0,6.5,30.713469,104.034868,成都,金牛区,4,0.0
初级嵌入式软件工程师,成都奎安科技,"['30.554107', '104.077616']",151939000,6-9千,成都-高新区,本科,1年,民营,计算机软件,2025-12-25 19:31:13,6.0,9.0,7.5,30.554107,104.077616,成都,高新区,4,1.0
嵌入式软件开发1（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168089687,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:43,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5,0.0
嵌入式软件开发助理,成都臻琰科技,"['30.544243', '104.074739']",149328709,4-6千·13薪,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 19:13:12,4.0,6.0,5.0,30.544243,104.074739,成都,高新区,4,0.0
嵌入式开发工程师助理,北京骐骥优才科技,"['30.658944', '104.08633']",169591236,6-9千·13薪,成都-锦江区,本科,1年及以上,民营,专业服务(咨询、人力资源、财会),2025-12-01 22:03:08,6.0,9.0,7.5,30.658944,104.08633,成都,锦江区,4,1.0
嵌入式开发工程师,四川科达锐信息技术,"['30.565569', '104.281814']",168860428,4-6千,成都,本科,无需经验,民营,计算机软件,2025-11-17 16:51:19,4.0,6.0,5.0,30.565569,104.281814,成都,,4,0.0
硬件开发2（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168089948,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:42,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5,0.0
嵌入式软件开发助理工程师,四川科航锐科技,"['30.665568', '104.076985']",162492685,5-7千,成都-青羊区,本科,无需经验,民营,计算机软件,2025-12-26 09:50:22,5.0,7.0,6.0,30.665568,104.076985,成都,青羊区,4,0.0
应用工程师（地点：深圳）（成都）,苏州顺芯半导体,"['22.539249', '113.960349']",161144015,1.4-1.9万,深圳-南山区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-26 08:51:44,14.0,19.0,16.5,22.539249,113.960349,深圳,南山区,4,0.0
初级嵌入式软件工程师,成都菁蓉联创科技,"['30.554107', '104.077616']",164494047,7千-1万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 11:02:39,5.0,8.0,6.5,30.554107,104.077616,成都,高新区,4,0.0
控制系统硬件开发（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168089624,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:43,14.0,19.0,16.5,30.390866,114.348331,武汉,江夏区,5,0.0
嵌入式工程师助理,成都安铭汇信息技术,"['30.547993', '104.077834']",167837282,5-8千,成都-武侯区,本科,1年及以上,民营,计算机软件,2025-11-24 11:38:53,4.0,6.0,5.0,30.547993,104.077834,成都,武侯区,4,1.0
应用工程师（地点：上海）（成都）,苏州顺芯半导体,"['31.186858', '121.43842']",161144066,1.4-1.9万,上海-徐汇区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-26 08:51:47,15.0,16.0,15.5,31.186858,121.43842,上海,徐汇区,4,0.0
嵌入式工程师助理,宜宾九博信息技术,"['30.586929', '104.083059']",167849007,4-6千,成都-武侯区,本科,1年,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,15.0,16.0,15.5,30.586929,104.083059,成都,武侯区,4,1.0
软件开发2（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090261,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:24,9.0,12.0,10.5,30.390866,114.348331,武汉,江夏区,5,0.0
软件开发1（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090023,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:49,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5,0.0
嵌入式工程师,成都安铭汇信息技术,"['30.547993', '104.077834']",162906633,9千-1.2万,成都-武侯区,大专,无需经验,民营,计算机软件,2025-11-24 11:38:53,100.0,150.0,125.0,30.547993,104.077834,成都,武侯区,3,0.0
初级嵌入式开发工程师,成都睿工智能控制技术,"['30.679401', '104.072192']",168841645,6-8千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-10-24 09:53:33,7.0,9.0,8.0,30.679401,104.072192,成都,青羊区,3,0.0
软件开发3（工作地宜昌）,中国船舶集团有限公司第七一〇研究所,"['30.694217', '111.321064']",168095151,1.5-1.6万,宜昌,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:50:18,15.0,16.0,15.5,30.694217,111.321064,宜昌,,5,0.0
嵌入式软件工程师,成都熊谷加世电器,"['30.764028', '103.917158']",162561017,10-15万/年,成都-郫都区,本科,在校生/应届生,民营,机械/设备/重工,2025-11-22 13:07:23,6.0,8.0,7.0,30.764028,103.917158,成都,郫都区,4,0.0
软件开发工程师（成都）,深圳市紫光同创电子,"['22.544052', '113.957034']",149190209,1.4-2.8万,深圳-南山区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-28 04:43:06,5.0,10.0,7.5,22.544052,113.957034,深圳,南山区,4,0.0
嵌入式软件开发工程师,成都零夏八度科技,"['30.545565', '104.081865']",158355420,7-9千·13薪,成都-高新区,本科,1年,民营,计算机软件,2025-12-25 19:23:16,5.0,7.0,6.0,30.545565,104.081865,成都,高新区,4,1.0
硬件开发1（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168089652,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:42,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5,0.0
嵌入式硬件工程师,成都睿工智能控制技术,"['30.679401', '104.072192']",168841920,6-8千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-11-05 09:23:44,4.0,6.0,5.0,30.679401,104.072192,成都,青羊区,3,0.0
汽车电子嵌入式底层驱动工程师,成都创科升电子科技,"['30.555307', '104.183629']",168610828,5千-1万,成都-龙泉驿区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-10-14 15:23:29,5.0,7.0,6.0,30.555307,104.183629,成都,龙泉驿区,4,0.0
嵌入式助理工程师,四川进拓创力机械设备,"['30.620771', '104.010608']",152239907,5-7千,成都-武侯区,大专,无需经验,民营,原材料和加工,2025-12-26 08:54:14,16.0,25.0,20.5,30.620771,104.010608,成都,武侯区,3,0.0
硬件开发3（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090596,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:18,170.0,340.0,255.0,30.390866,114.348331,武汉,江夏区,5,0.0
嵌入式实习生,成都融御歆信息技术,"['30.547122', '104.06545']",167449823,4-6千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 18:57:34,15.0,16.0,15.5,30.547122,104.06545,成都,高新区,4,0.0
嵌入式测试,成都臻琰科技,"['30.648713', '104.049424']",157025225,5-7千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-12-25 19:13:12,9.0,12.0,10.5,30.648713,104.049424,成都,武侯区,4,0.0
嵌入式软件工程师,烟台睿创微纳技术,"['30.477874', '104.01381']",169963197,1.6-2.5万,成都,硕士,1年及以上,已上市,电子技术/半导体/集成电路,2025-12-23 20:50:56,4.0,6.0,5.0,30.477874,104.01381,成都,,5,1.0
嵌入式软件工程师,成都云智优企业管理咨询,"['30.599284', '104.072329']",168972521,17-34万/年,成都,硕士,1年及以上,民营,专业服务(咨询、人力资源、财会),2025-10-30 11:10:39,7.0,10.0,8.5,30.599284,104.072329,成都,,5,1.0
硬件开发4（工作地宜昌）,中国船舶集团有限公司第七一〇研究所,"['30.694217', '111.321064']",168095131,1.5-1.6万,宜昌,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:50:18,8.0,15.0,11.5,30.694217,111.321064,宜昌,,5,0.0
嵌入式工程师助理,成都安铭汇信息技术,"['30.645738', '104.110504']",162906697,9千-1.2万,成都-锦江区,大专,无需经验,民营,计算机软件,2025-11-24 11:38:53,,,,30.645738,104.110504,成都,锦江区,3,0.0
初级嵌入式开发助理,成都睿工智能控制技术,"['30.679401', '104.072192']",168841697,4-6千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-10-24 09:54:15,,,,30.679401,104.072192,成都,青羊区,3,0.0
嵌入式研发工程师,成都菁蓉联创科技,"['30.554107', '104.077616']",161924842,7千-1万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:53:05,,,,30.554107,104.077616,成都,高新区,4,0.0
嵌入式开发工程师,成都西加云杉科技,"['30.554107', '104.077616']",161927479,8千-1.5万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:53:06,,,,30.554107,104.077616,成都,高新区,4,0.0
